,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
30150,White,Buzz Cut,Dark Brown,,Charcoal Blazer with Light Blue Shirt and Black Tie,Navy Slacks,Brown Leather Shoes with Laces,,Tan Workers Cap,,,
30151,White,,Dark Brown,,Olive Oxford with Buttons,Navy Slacks,White Canvas Sneaker with White Sole,,Navy Blue Workers Cap,,,
30152,White,Medium Curly Bob,Light Brown,,Olive Cardigan with Beige Oxford Shirt,Khaki Slacks,White Leather Sneaker with Grey Sole,,,,,Brown Leather Briefcase
30153,White,Buzz Cut,Light Brown,,Tan Blazer with Off-White Shirt and No Tie,Khaki,Black Leather Shoes with Laces,,,Black Books,,Brown Leather Briefcase
30154,White,,Black,,Dark Gray Cardigan with Light Gray Oxford Shirt,Blue Denim,Redbrown Leather Workboot with Brown Sole,,,,,
30155,White,Short Pixie,Light Brown,Stubble,Red Longsleeve,Gray Slacks,White Canvas Sneaker with White Sole,,,,,
30156,White,Straight Sideswept Fringe,Light Brown,,Khaki Oxford with Tie and Pocket,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,,,
30157,White,Short Coil,Light Brown,,Olive Oxford with Buttons,Charcoal Slacks,Brown Leather Shoes with Laces,,,Black Books,,Black Smartphone
30158,White,Buzz Cut,Black,,Olive Cardigan with Beige Longsleeve Shirt,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,,,,
30159,White,Long Afro,Black,Goatee,Navy Oxford with Tie,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,,Stud Earring,Black Smartphone
30160,White,Short Coil,Light Grey,,Light Gray Longsleeve,Khaki Slacks,Black Leather Shoes with Laces,,,,,Black Smartphone
30161,White,Short Coil,Black,,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,,,Black Books,,Black Leather Briefcase
30162,White,,Dark Brown,,Dark Gray Longsleeve,Khaki Slacks,White Leather Sneaker with Grey Sole,,Navy Blue Workers Cap,Black Books,Stud Earring,Brown Leather Briefcase
30163,White,Short Afro Fade,Black,,Light Gray Longsleeve,Gray Slacks,Black Leather Shoes with Laces,,,Black Books,Stud Earring,Black Leather Briefcase
30164,White,Short Updo,Dark Brown,,Gray Blazer with Black Shirt and No Tie,Khaki Slacks,Brown Leather Shoes with Laces,Two Rings,,Rosegold Aviators,,
30165,White,Short Afro Fade,Light Grey,,Gray Jumpsuit,,White Canvas Sneaker with White Sole,,,,,Black Smartphone
30166,White,,Light Brown,Beard,Khaki Jumpsuit,,White Canvas Sneaker with White Sole,,,Black Books,,Black Smartphone
30167,White,Short Afro Fade,Dark Brown,Goatee,Olive Oxford with Pocket,Navy Slacks,Brown Leather Shoes with Laces,,,Black Books,,Black Leather Briefcase
30168,White,Straight Sideswept Fringe,Black,,Dark Gray Longsleeve,Navy Slacks,Brown Leather Shoes with Laces,,,,,Black Smartphone
30169,White,Short Afro Fade,Blonde,,Khaki Oxford with Buttons,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,,,,Lunchbox
30170,White,Long Straight Bangs,Dark Brown,,Navy Blazer with Striped Shirt and Navy Tie,Charcoal Slacks,Black Leather Shoes with Laces,,,,,Black Smartphone
30171,White,Short Updo,Light Grey,Stubble,Navy Jumpsuit,,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
30172,White,Buzz Cut,Dark Brown,Thin,Olive Oxford with Tie,Light-Wash Denim,White Canvas Sneaker with White Sole,,Tan Workers Cap,,Stud Earring,
30173,White,Low Ponytail,Black,,Khaki Oxford with Pocket,Khaki Slacks,Black Leather Shoes with Laces,,,Rosegold Aviators,,Brown Leather Briefcase
30174,White,Short Afro Fade,Black,,Olive Oxford with Pocket,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,,,Brown Leather Briefcase
30175,White,Short Updo,Light Grey,,Dark Gray Longsleeve,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,,,,,Black Leather Briefcase
30176,White,Short Coil,Light Brown,,Blue Longsleeve,Light-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,
30177,White,,Auburn,Stubble,Khaki Oxford with Tie and Pocket,Light-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Black Leather Briefcase
30178,White,Medium Curly Bob,Light Brown,,Blue Longsleeve,Navy Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,Black Smartphone
30179,White,Straight Sideswept Fringe,Black,,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,Brown Leather Shoes with Laces,,,,,
30180,White,Medium Curly Bob,Light Grey,,Olive Oxford with Buttons,Blue Denim,Redbrown Leather Workboot with Brown Sole,,,Black Books,,Black Smartphone
30181,White,Straight Sideswept Fringe,Auburn,,Gray Blazer with Black Shirt and No Tie,Khaki,Brown Leather Shoes with Laces,,,,,Black Smartphone
30182,White,Short Afro Fade,Dark Brown,Thin,Navy Oxford with Tie and Pocket,Blue Denim,White Canvas Sneaker with White Sole,,,,,
30183,White,,Dark Brown,,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,,,,Stud Earring,Black Smartphone
