,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
20024,Can see around corners,Yes,Quiet confidence,Sleep paralysis,None,Could sell ice to an eskimo,Black Leather Mandarin Trench Coat,Laughing at your mistakes,White Futurist with Mirror Lens,Green Leather Combat Cuff Boot,Can take a punch,9,10,11,2,10,3,1,1,,,,,,,Gold Eyebrow Ring,,,,Goatee,Natural,Dark Brown,Medium Curly Bob,Light Rain,Black Cotton Wool Slacks with Buckles
20025,Can smell fear,Yes,Quiet confidence,Getting the hang of it,None,You win without playing,Black Leather Trench Coat with Green Cotton Tank,Accepting the impermanence of things,Black Wayfarer with Black Lens,Green Leather Combat Cuff Boot,Can punch holes in concrete walls,14,11,14,5,10,10,1,1,,,,,,,Black Earrings,,,,,Natural,Blonde,Pulled Back Short,Heavy Rain,Green Cotton Leggings
20026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20028,Can see around corners,Yes,Unshakable resolve,Getting the hang of it,None,Nobody's buying it,Black Leather Crewneck Tunic,The veil begins to lift,Round Black with Black Lens,Green Leather Neo Combat Boot,Scrappy,2,6,11,5,12,5,1,1,,Black Arm Pole,Circle,,,,,,,Scowl,,Natural,Light Brown,Messy Updo Bun,Medium Rain,Red Cotton Wool Slacks with Buckles
20029,Time slows for you,Yes,Last one standing,Can walk and chew gum AT THE SAME TIME (good job!),None,People smile back at you,Red Leather Moto Jacket with Black Patent Leather Crew,Appreciation for the complexity of human behavior,,Black Leather Combat Cuff Boot,I wouldn't mess with you,6,12,16,4,14,6,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,Smirk,Stubble,Natural,Blonde,Long Straight Bangs,Medium Rain,Black Leather Pants with Buckles
20030,Can hear a bee's wings,Yes,Quiet confidence,Two left feet,None,Could sell ice to an eskimo,Green Cotton Mandarin Tunic,Accepting the impermanence of things,,Patent Black Leather Combat Cuff Boot,Can take a punch,9,11,10,3,10,3,1,1,,Black Gun,Borromean Rings,,,,Black Earrings,,,,Beard,Light Purple,Light Brown,Short Coil,Heavy Rain,Red Snakeskin Pants with Buckles
20031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20032,You've got a bad feeling about this,Yes,Stiff upper lip,Always picked first,None,Glossophobia,Green Cotton Tank,Laughing at your mistakes,Black Wayfarer with Black Lens,Green Knee High Leather Boots,Can take a punch,4,10,9,8,7,3,1,1,Katana with Black Handle and White Blade,,,,Sierpiński Triangle,Shaded Stacking Triangles,"Black Nose, Lip",,,Scowl,Beard,Natural,Blonde,Long Messy,Light Rain,Red Cotton Leggings
20033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20034,Can see around corners,Yes,Incredible moral fiber,Two left feet,None,Maintains status quo,Green Cotton Mandarin Tunic,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,Red Leather Neo Combat Boot,Can put up a fight,5,11,11,3,11,4,1,1,,,,,,,,,,,,Natural,Light Grey,Short Curly Fade,Light Rain,Black Leather Leggings
20035,Can see around corners,Yes,Incredible moral fiber,Two left feet,None,Maintains status quo,Black Patent Leather Moto Jacket with Black Leather Crew,Accepting the impermanence of things,Black Morpheus with Dark Mirrored Lens,Black Leather Combat Cuff Boot,I wouldn't mess with you,5,11,11,3,11,6,1,1,,,Sierpiński Triangle,,,,,,,,,Natural,Black,Faux Hawk,Light Rain,Green Cotton Leggings
20036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20042,Can hear a bee's wings,Yes,True grit,Getting the hang of it,None,Glossophobia,Black Cotton Tank,Appreciation for the complexity of human behavior,,Black Leather Combat Cuff Boot,Can put up a fight,4,12,10,5,9,4,1,1,,Black Arm Pole,,,Square,Interlocking Circles,Black Erl,,Studded Leather,Smirk,,Natural,Light Brown,Buzz Cut,Heavy Rain,Black Cotton Martial Arts Pants
20043,Can hear a bee's wings,Yes,Incredible moral fiber,A gelatinous blob,None,Natural born leader,Green Leather Tank,Accepting the impermanence of things,,Red Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,10,11,10,1,11,2,1,1,Silver Staff,Katana with White Handle and Silver Blade,,,Intersecting Squares,Shriking Shaded Squares,,,Thick Leather,Meditative,,Natural,Light Brown,Long Straight Bangs,Light Rain,Green Cotton Martial Arts Pants
20044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20054,Can hear a bee's wings,Yes,Incredible moral fiber,Two left feet,None,Glossophobia,Black Cotton Martial Arts Top,Reality is seen as it is,Round Black with Black Lens,Black Leather Neo Combat Boot,Can take a punch,4,15,10,3,11,3,1,1,,Katana with White Handle and Silver Blade,,Shaded Circle,,,,,,,,Natural,Black,Long Messy,Heavy Rain,Red Cotton Wool Slacks with Buckles
20055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20062,Can see over the horizon,Yes,True grit,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Black Cotton Tank,You know the sound of one hand clapping,,Black Snakeskin Combat Cuff Boot,You come in like a wrecking ball,5,13,13,4,9,11,1,1,,Black Arm Pole,,,,Borromean Rings,,Leather Cuff,,Smirk,,Natural,Auburn,Short Updo,Medium Rain,Black Cotton Wool Slacks with Buckles
20063,You've got a bad feeling about this,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,People follow you blindly,Green Cotton Crewneck Tunic,Laughing at your mistakes,,Black Patent Leather Knee High Boots,Paper hands,11,10,9,4,10,1,1,1,Katana with Black Handle and Silver Blade,,,Shaded Triangle,,,,,,,,Natural,Black,Asymmetrical Bob,Light Rain,White Cotton Wool Slacks with Buckles
20064,Your third eye is open,Yes,Incredible moral fiber,A gelatinous blob,None,People smile back at you,Red Leather Longsleeve Crew,Accepting the impermanence of things,Black Neo with Black Lens,Black Snakeskin Neo Combat Boot,The gym stops to watch you lift,6,11,15,1,11,8,1,1,Black Gun,,Intersecting Squares,,,,,,Thick Leather,,,Light Blue,Blonde,Short Sideswept Fringe,Light Rain,Green Leather Pants with Buckles
20065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20076,Can hear a bee's wings,Yes,"You pull your friend forward and say ""hold me back""",Two left feet,None,People smile back at you,Black Patent Lather Trench Coat with Black Cotton Oxford and White Tie,Laughing at your mistakes,,Black Knee High Leather Boots,The gym stops to watch you lift,6,10,10,3,4,8,1,1,Silver Staff,Black Gun,,,,,,,,Scowl,Mustache,Natural,Dark Brown,Long Afro,Light Rain,Black Leather Pants with Buckles
20077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20083,Can see around corners,Yes,Surprising resilience,Getting the hang of it,None,Glossophobia,Black Patent Leather Longsleeve Crew,Reality is seen as it is,White Futurist with Mirror Lens,Black Leather Combat Cuff Boot,Paper hands,4,15,11,5,8,1,1,1,Black Gun,Silver Arm Pole,Equality Sign,,,,"Black Nose, Lip",,,,,Natural,Black,,Medium Rain,Black Cotton Martial Arts Pants
20084,Can see around corners,Yes,Unshakable resolve,Running circles around enemies,None,Could probably convince a small child,Black Leather Moto Jacket with White Leather Crew,Accepting the impermanence of things,,Black Patent Leather Neo Combat Boot,Can take a punch,3,11,11,7,12,3,1,1,,Katana with Black Handle and Silver Blade,,,,,"Black Nose, Lip",,,Smirk,,Natural,Black,Short Curly Fade,Light Rain,Black Patent Leather Pants with Buckles
20085,"You see the past, present and future",Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Could probably convince a small child,Green Cotton Tank,Accepting the impermanence of things,,Black Patent Leather Neo Combat Boot,People get out of your way,3,11,19,4,11,7,1,1,Phone,,,Triangle,,Sierpiński Triangle,"Black Nose, Lip",,,,,Natural,Light Brown,Short Afro Fade,Light Rain,Black Cotton Wool Slacks with Buckles
20086,Can hear a heartbeat a mile away,Yes,Unshakable resolve,A gelatinous blob,None,Your significant other's mom loves you,Black Leather Crewneck Tunic,You have a childlike sense of wonder,Round Silver with Mirror Lens,Black Leather Combat Cuff Boot,Can put up a fight,8,7,12,1,12,4,1,1,Katana with Black Handle and Silver Blade,,,,,,,,,,,Light Blue,Blonde,Medium Curly Bob,Medium Rain,Green Cotton Wool Slacks with Buckles
20087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20088,Can see around corners,Yes,Incredible moral fiber,Sleep paralysis,None,Your significant other's mom loves you,Red Leather Mandarin Tunic,Learning to regulate emotions,Black Wayfarer with Black Lens,Patent Green Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,8,9,11,2,11,2,1,1,Phone,Dark Wood Staff,,,,,Silver Earrings,Leather Cuff,,,Stubble,Natural,Dark Brown,Messy Updo Bun,Light Rain,Black Leather Pants with Buckles
20089,Can see around corners,Yes,True grit,Abnormal flexibility,None,Could sell ice to an eskimo,Black Snakeskin Moto Jacket with Green Leather Crew,Laughing at your mistakes,Black Morpheus with Dark Mirrored Lens,Black Leather Combat Cuff Boot,Can take a punch,9,10,11,9,9,3,1,1,,Phone,,Intersecting Squares,,,,,,Scowl,Goatee,Natural,Light Brown,Messy Updo Bun,Heavy Rain,Black Cotton Leggings
20090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20093,You've got a bad feeling about this,Yes,Unshakable resolve,Two left feet,None,Could sell ice to an eskimo,Red Leather Tank,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,Red Patent Leather Neo Combat Boot,Scrappy,9,11,9,3,12,5,1,1,Silver Gun,Katana with Black Handle and White Blade,,,Triforce,Moon Patterns,,,Studded Leather,,,Natural,Black,,Light Rain,Black Cotton Leggings
20094,Can't find your way out of a wet paper bag,Yes,Incredible moral fiber,Two left feet,None,You're a bit of a charmer,Red Cotton Longsleeve Crew,Laughing at your mistakes,,Black Leather Combat Cuff Boot,Can take a punch,7,10,1,3,11,3,1,1,,,Intersecting Triangles,,,,Black Erl,,,Meditative,,Natural,Light Grey,Long Straight Bangs,Medium Rain,Red Cotton Wool Slacks with Buckles
20095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20096,Can hear a bee's wings,Yes,Can eat just one potato chip,Sleep paralysis,None,Maintains status quo,Charcoal Cotton Longsleeve Crew,Appreciation for the complexity of human behavior,Black and Gold Wayfarer with Black Lens,Black Knee High Leather Boots,Scrappy,5,12,10,2,15,5,1,1,,Phone,,,,,,,,,Stubble,Natural,Black,Buzz Cut,Heavy Rain,Green Cotton Leggings
20097,Can hear a heartbeat a mile away,Yes,Unshakable resolve,Getting the hang of it,None,People follow you blindly,Black Patent Leather Moto Jacket with Red Leather Crew,Reality is seen as it is,Black Wayfarer with Black Lens,Patent Black Leather Combat Cuff Boot,Can take a punch,11,15,12,5,12,3,1,1,Phone,Black Submachine Gun,,,,,,,,,,Natural,Black,Low Ponytail,Light Rain,Green Cotton Leggings
20098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20101,You've got a bad feeling about this,Yes,Last one standing,Two left feet,None,Maintains status quo,Black Cotton Tunic with Buttons,Accepting the impermanence of things,Black Wayfarer with Black Lens,Green Leather Combat Cuff Boot,Can take a punch,5,11,9,3,14,3,1,1,,Phone,,,,,Black Earrings,,,Smirk,Stubble,Light Purple,Black,Short Updo,Heavy Rain,Black Patent Leather Pants with Buckles
20102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20105,Can see around corners,Yes,Last one standing,Pretty light on your feet,None,People follow you blindly,Red Cotton Martial Arts Top,Laughing at your mistakes,White Futurist with Mirror Lens,,Can put up a fight,11,10,11,6,14,4,1,1,,,,,,,,,,Scowl,,Natural,Blonde,Short Curly Fade,Light Rain,Black Cotton Martial Arts Pants
20106,Excellent at reading people,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,You win without playing,Black Cotton Tank,Accepting the impermanence of things,Round Silver with Mirror Lens,Black Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,14,11,8,4,11,2,1,1,,,,,Equality Sign,Interlocking Circles,,Leather Cuff,Studded Leather,,,Natural,Light Brown,Buzz Cut,Light Rain,Black Cotton Wool Slacks with Buckles
20107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20108,Can hear a bee's wings,Yes,Quiet confidence,Sleep paralysis,None,Your significant other's mom loves you,Black Cotton Tank,Appreciation for the complexity of human behavior,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,I wouldn't mess with you,8,12,10,2,10,6,1,1,,,,,Shaded Circle,Valknut,,,Thick Leather,,,Natural,Black,Low Ponytail,Heavy Rain,Black Patent Leather Pants with Buckles
20109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113,Can hear a heartbeat a mile away,Yes,True grit,Always picked first,None,Could probably convince a small child,Green Leather Mandarin Tunic,Appreciation for the complexity of human behavior,,Red Patent Leather Neo Combat Boot,Can take a punch,3,12,12,8,9,3,1,1,,,,,,,Black Eyebrow Ring,,,,,White,Light Brown,Pulled Back Short,Light Rain,Black Cotton Wool Slacks with Buckles
20114,Can hear a bee's wings,Yes,Stiff upper lip,Sleep paralysis,None,People smile back at you,Black Wool Mandarin Trench Coat,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Can take a punch,6,11,10,2,7,3,1,1,Silver Short Sai,Black Submachine Gun,,,,,"Black Nose, Lip, Forehead",,,,,Neon Red,Light Brown,Faux Hawk,Light Rain,Black Snakeskin Pants with Buckles
20115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20116,Can hear a bee's wings,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Black Leather Trench Coat with Black Cotton Oxford and Red Tie,Accepting the impermanence of things,Round Black with Black Lens,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,5,11,10,4,12,2,1,1,,Silver Submachine Gun,,,,,,,,,,Natural,Light Grey,Medium Curly Bob,Heavy Rain,Red Leather Leggings
20117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20118,Can see over the horizon,Yes,Incredible moral fiber,Two left feet,None,Maintains status quo,Red Wool Mandarin Trench Coat,Accepting the impermanence of things,,Green Leather Combat Cuff Boot,Can put up a fight,5,11,13,3,11,4,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,Meditative,,Pink,Black,Short Afro Fade,Heavy Rain,Black Cotton Wool Slacks with Buckles
20119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120,Heightened senses,Yes,Surprising resilience,Getting the hang of it,None,You're a bit of a charmer,Green Cotton Martial Arts Top,Laughing at your mistakes,Black Neo with Mirror Lens,,Your grandma beats you at arm-wrestling,7,10,7,5,8,2,1,1,,Black Gun,,,,,,,,,Goatee,Natural,Auburn,Medium Curly Bob,Light Rain,Black Cotton Martial Arts Pants
20121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20125,You've got a bad feeling about this,Yes,True grit,Always picked first,None,Nobody's buying it,Black Cotton Mandarin Tunic,You have walked the manifold path,Black Wayfarer with Black Lens,Patent Green Leather Combat Cuff Boot,Can put up a fight,2,14,9,8,9,4,1,1,Phone,,,,,,,,,,,Natural,Dark Brown,Short Messy,Medium Rain,Black Cotton Leggings
20126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20127,You've got a bad feeling about this,Yes,Incredible moral fiber,Getting the hang of it,None,You're a bit of a charmer,Black Patent Leather Tunic with Buttons,Laughing at your mistakes,Black Neo with Mirror Lens,Black Leather Combat Cuff Boot,Can take a punch,7,10,9,5,11,3,1,1,,,,Borromean Rings,,,Black Earrings,,,Smirk,Mustache,Natural,Light Brown,Messy Updo Bun,Light Rain,Black Leather Leggings
20128,Can hear a bee's wings,Yes,Incredible moral fiber,Getting the hang of it,None,Maintains status quo,Black Cotton Mandarin Tunic,You have walked the manifold path,,Patent Green Leather Combat Cuff Boot,Can take a punch,5,14,10,5,11,3,1,1,,Black Arm Pole,,,,,,Leather Choker,,Smirk,,Natural,Light Grey,Short Messy,Light Rain,Red Cotton Wool Slacks with Buckles
20129,Can see over the horizon,Yes,Incredible moral fiber,Sleep paralysis,None,Everything is always an option,Black Leather Trench Coat with Black Cotton Tank,Laughing at your mistakes,Black Morpheus with Dark Mirrored Lens,Patent Black Leather Combat Cuff Boot,Can put up a fight,12,10,13,2,11,4,1,1,Phone,,,,,,,,,Scowl,,Natural,Dark Brown,Short Messy,Medium Rain,Black Cotton Wool Slacks with Buckles
20130,Can hear a heartbeat a mile away,Yes,Quiet confidence,A gelatinous blob,None,Could probably convince a small child,Black Leather Tunic with Buttons,Appreciation for the complexity of human behavior,Round Black with Black Lens,Black Leather Neo Combat Boot,Can take a punch,3,12,12,1,10,3,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,,,White,Light Brown,Short Afro Fade,Light Rain,Black Cotton Leggings
20131,Excellent at reading people,Yes,Surprising resilience,Sleep paralysis,None,You're a bit of a charmer,Black Leather Tank,Accepting the impermanence of things,,Black Patent Leather Neo Combat Boot,Can take a punch,7,11,8,2,8,3,1,1,Black Gun,Silver Arm Pole,,Triangle,Intersecting Triangles,Valknut,,,Studded Leather,Scowl,Goatee,Natural,Light Brown,Short Sideswept Fringe,Light Rain,Black Cotton Wool Slacks with Buckles
20132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20134,You've got a bad feeling about this,Yes,Quiet confidence,Sleep paralysis,None,You're a bit of a charmer,Black Leather Moto Jacket with White Leather Crew,Self-induced illusions fade,3D Glasses,Green Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,7,8,9,2,10,2,1,1,,Phone,,,,,,,,,Thin,Pink,Black,Short Pixie,Light Rain,Black Snakeskin Leggings
20135,Can hear a bee's wings,Yes,Unshakable resolve,Getting the hang of it,None,Robert Downey Jr.,Black Patent Leather Trench Coat with Black Cotton Tank,Laughing at your mistakes,,Green Patent Leather Knee High Boots,Scrappy,17,10,10,5,12,5,1,1,,,,,,,,Leather Choker,,,Beard,Natural,Light Brown,Short Coil,Light Rain,Black Cotton Leggings
20136,You've got a bad feeling about this,Yes,Incredible moral fiber,Getting the hang of it,None,Glossophobia,Charcoal Leather Longsleeve Crew,Appreciation for the complexity of human behavior,,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,4,12,9,5,11,2,1,1,,,,,,,Gold Earrings,,,,,Green,Auburn,Short Pixie,Light Rain,White Cotton Leggings
