,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
55060,Can hear a heartbeat a mile away,Yes,Quiet confidence,Sleep paralysis,None,Maintains status quo,Red Patent Lather Trench Coat with Black Cotton Oxford and White Tie,Accepting the impermanence of things,,Black Snakeskin Combat Cuff Boot,Can take a punch,5,11,12,2,10,3,1,1,Katana with Black Handle and White Blade,,,,,,,,,Scowl,,Natural,Dark Brown,Long Straight Bangs,Heavy Rain,Black Cotton Wool Slacks with Buckles
55061,Can hear a bee's wings,Yes,Quiet confidence,Sleep paralysis,None,People smile back at you,Black Wool Mandarin Trench Coat,Laughing at your mistakes,,Patent Black Leather Combat Cuff Boot,Can take a punch,6,10,10,2,10,3,1,1,,,,,,,,,,Meditative,,Natural,Light Brown,Short Curly Fade,Heavy Rain,Black Cotton Leggings
55062,Can hear a heartbeat a mile away,Yes,Quiet confidence,Getting the hang of it,None,You're a bit of a charmer,Black Leather Trench Coat with Black Cotton Oxford and Green Tie,Accepting the impermanence of things,,Green Leather Combat Cuff Boot,People get out of your way,7,11,12,5,10,7,1,1,,Katana with White Handle and White Blade,,,,,"Black Nose, Lip, Forehead",,,,Goatee,Natural,Black,Medium Curly Bob,Light Rain,Black Leather Leggings
55063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55064,Can hear a bee's wings,Yes,Last one standing,Two left feet,None,Your significant other's mom loves you,Green Cotton Tunic with Buttons,Laughing at your mistakes,Black Wayfarer with Black Lens,Black Knee High Leather Boots,Can take a punch,8,10,10,3,14,3,1,1,Katana with Black Handle and White Blade,,,,,,,Leather Cuff,,,Thin,Natural,Blonde,Short Pixie,Medium Rain,Black Leather Leggings
55065,Your third eye is open,Yes,True grit,Running circles around enemies,None,You're a bit of a charmer,Black Cotton Longsleeve with Zipper,You have walked the manifold path,Translucent Hex with Red Polarized Lens,Red Leather Combat Cuff Boot,Can take a punch,7,14,15,7,9,3,1,1,Phone,,,Equality Sign,,,,,,Scowl,,Natural,Black,Buzz Cut,Heavy Rain,Black Cotton Wool Slacks with Buckles
55066,Can hear a bee's wings,Yes,Quiet confidence,Two left feet,None,Could sell ice to an eskimo,Green Cotton Tank,Accepting the impermanence of things,,Red Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,9,11,10,3,10,2,1,1,,,,,,Shaded Circle,,Leather Choker,Thick Leather,,,Natural,Light Brown,Short Coil,Medium Rain,Black Cotton Leggings
55067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55072,Can see around corners,Yes,True grit,Can walk and chew gum AT THE SAME TIME (good job!),None,People smile back at you,Green Snakeskin Moto Jacket with Charcoal Cotton Crew,Accepting the impermanence of things,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Can take a punch,6,11,11,4,9,3,1,1,,,,,,,Silver Earrings,,,,Goatee,Natural,Blonde,Short Afro Fade,Heavy Rain,Black Cotton Wool Slacks with Buckles
55073,Can hear a bee's wings,Yes,Surprising resilience,Can walk and chew gum AT THE SAME TIME (good job!),None,Nobody's buying it,Black Leather Moto Jacket with Charcoal Cotton Crew,Learning to regulate emotions,,Black Knee High Leather Boots,Your grandma beats you at arm-wrestling,2,9,10,4,8,2,1,1,,Black Arm Pole,,,,,,,,Scowl,,Natural,Light Brown,Buzz Cut,Light Rain,Black Cotton Wool Slacks with Buckles
55074,Can hear a bee's wings,Yes,Incredible moral fiber,Two left feet,None,Glossophobia,Black Leather Mandarin Tunic,Self-induced illusions fade,Black Wayfarer with Black Lens,Red Leather Combat Cuff Boot,Can take a punch,4,8,10,3,11,3,1,1,,Silver Short Sai,,,,,Black Earrings,,,,Goatee,Neon Red,Auburn,Short Afro Fade,Light Rain,Black Cotton Leggings
55075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55084,You've got a bad feeling about this,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Glossophobia,Green Leather Mandarin Trench Coat,Learning to regulate emotions,,Black Leather Combat Cuff Boot,Can put up a fight,4,9,9,4,10,4,1,1,,,,,,,,,,Meditative,,Natural,Black,Messy Updo Bun,Light Rain,Green Cotton Leggings
55085,Can see around corners,Yes,Steps forward as others flee,Two left feet,None,Could probably convince a small child,Red Leather Moto Jacket with Green Leather Crew,Learning to regulate emotions,Round Silver with Mirror Lens,Black Leather Neo Combat Boot,Can take a punch,3,9,11,3,13,3,1,1,,,,,,,,,,,,Natural,Light Brown,Faux Hawk,Light Rain,Black Cotton Leggings
55086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55088,Can see over the horizon,Yes,Unshakable resolve,Getting the hang of it,None,Everything is always an option,Black Patent Leather Tank,Reality is seen as it is,Round Silver with Mirror Lens,Green Leather Neo Combat Boot,Can put up a fight,12,15,13,5,12,4,1,1,Black Short Sai,Black Arm Pole,,,Equality Sign,Intersecting Squares,,,,,,Natural,Dark Brown,Short Sideswept Fringe,Light Rain,Black Leather Pants with Buckles
55089,Can hear a heartbeat a mile away,Yes,Quiet confidence,Sleep paralysis,None,People smile back at you,Black Leather Moto Jacket with Black Cotton Crew,You know the sound of one hand clapping,,Green Black Patent Leather Neo Combat Boot,Paper hands,6,13,12,2,10,1,1,1,,Dark Wood Staff,,,,,,,,,,Natural,Black,Short Afro Fade,Heavy Rain,Black Cotton Leggings
55090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55091,Can see around corners,Yes,Unshakable resolve,Sleep paralysis,None,Your significant other's mom loves you,Black Cotton Tunic with Buttons,Self-induced illusions fade,Black Hex with Purple Polarized Lens,Green Leather Neo Combat Boot,Can put up a fight,8,8,11,2,12,4,1,1,,Katana with White Handle and Silver Blade,,,,,Black Earrings,,,,Stubble,Natural,Black,,Heavy Rain,Green Leather Pants with Buckles
55092,You've got a bad feeling about this,Yes,Unshakable resolve,Two left feet,None,Glossophobia,Black Cotton Crewneck Tunic,The veil begins to lift,Round Silver with Mirror Lens,Black Leather Neo Combat Boot,Can take a punch,4,6,9,3,12,3,1,1,Phone,Phone,,,,,,,,,,Natural,Black,Short Messy,Medium Rain,Black Cotton Wool Slacks with Buckles
55093,Can hear a heartbeat a mile away,Yes,Steps forward as others flee,Two left feet,None,People smile back at you,Black Cotton Longsleeve with Zipper,Laughing at your mistakes,Round Silver with Mirror Lens,Black Leather Neo Combat Boot,Scrappy,6,10,12,3,13,5,1,1,,,,,,,Black Earrings,,,Scowl,,Natural,Dark Brown,Faux Hawk,Medium Rain,White Cotton Wool Slacks with Buckles
55094,Can hear a heartbeat a mile away,Yes,Unshakable resolve,Running circles around enemies,None,Your significant other's mom loves you,Charcoal Cotton Longsleeve Crew,The veil begins to lift,Black Wayfarer with Black Lens,Red Leather Neo Combat Boot,Scrappy,8,6,12,7,12,5,1,1,,,,Square,,,,,,,Beard,Natural,Dark Brown,Short Pixie,Heavy Rain,Black Cotton Wool Slacks with Buckles
55095,Can see around corners,Yes,True grit,Sleep paralysis,None,You're a bit of a charmer,Red Wool Mandarin Trench Coat,Accepting the impermanence of things,Black Futurist with Black Lens,Patent Red Leather Combat Cuff Boot,Can stop a helicopter from taking off,7,11,11,2,9,13,1,1,,Phone,,,,,,,,,Stubble,Natural,Dark Brown,Short Afro Fade,Medium Rain,Black Cotton Wool Slacks with Buckles
55096,Can see around corners,Yes,True grit,Two left feet,None,Could sell ice to an eskimo,Black Patent Lather Trench Coat with Black Cotton Oxford and Green Tie,Laughing at your mistakes,,Black Snakeskin Combat Cuff Boot,Your grandma beats you at arm-wrestling,9,10,11,3,9,2,1,1,,Silver Gun,,,,,,,,Meditative,Thin,Pink,Dark Brown,Long Afro,Heavy Rain,Green Cotton Wool Slacks with Buckles
55097,You've got a bad feeling about this,Yes,Steps forward as others flee,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Charcoal Cotton Longsleeve Crew,You know the sound of one hand clapping,White Futurist with Mirror Lens,Black Patent Leather Knee High Boots,People get out of your way,5,13,9,4,13,7,1,1,,Dark Wood Staff,,,,,,Leather Choker,,Scowl,,Pink,Light Grey,Short Coil,Heavy Rain,Black Patent Leather Pants with Buckles
55098,You've got a bad feeling about this,Yes,Quiet confidence,Sleep paralysis,None,People smile back at you,Black Cotton Tank,Laughing at your mistakes,Black Futurist with Black Lens,Black Leather Combat Cuff Boot,Can punch holes in concrete walls,6,10,9,2,10,10,1,1,,,Alchemy,,Sierpiński Triangle,,"Black Nose, Lip",,Studded Leather,Scowl,Stubble,Natural,Light Brown,Faux Hawk,Medium Rain,Black Cotton Leggings
55099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55101,Can hear a heartbeat a mile away,Yes,Quiet confidence,Sleep paralysis,None,People smile back at you,Black Leather Moto Jacket with Red Cotton Crew,Laughing at your mistakes,Black Neo with Black Lens,Green Leather Neo Combat Boot,Can put up a fight,6,10,12,2,10,4,1,1,,Gold Short Sai,,,,,,,,,,Natural,Auburn,Short Messy,Medium Rain,Black Cotton Wool Slacks with Buckles
55102,Can hear a heartbeat a mile away,Yes,Stiff upper lip,Pretty light on your feet,None,Maintains status quo,Red Leather Longsleeve Crew,Accepting the impermanence of things,Black Neo with Black Lens,Black Knee High Leather Boots,Can take a punch,5,11,12,6,7,3,1,1,,Katana with Black Handle and Silver Blade,,,,,Black Earrings,Leather Choker,,Smirk,,Pink,Auburn,Short Curly Fade,Light Rain,Green Cotton Wool Slacks with Buckles
55103,Can see around corners,Yes,True grit,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Green Patent Leather Tank,Laughing at your mistakes,,Green Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,7,10,11,4,9,2,1,1,,Black Long Sai,,Equality Sign,Shaded Circle,Moon Patterns,,,,Scowl,,Natural,Dark Brown,Bob with Fringes,Medium Rain,Black Cotton Leggings
55104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55114,You've got a bad feeling about this,Yes,Quiet confidence,Two left feet,None,Even you don't believe you,Charcoal Cotton Longsleeve Crew,Self-induced illusions fade,Translucent Hex with Red Polarized Lens,Black Leather Combat Cuff Boot,Can take a punch,1,8,9,3,10,3,1,1,Katana with White Handle and White Blade,Silver Short Sai,,,,,,,,,,Light Purple,Black,Pulled Back Short,Medium Rain,Black Leather Leggings
55115,You've got a bad feeling about this,Yes,Stiff upper lip,Can walk and chew gum AT THE SAME TIME (good job!),None,Glossophobia,Red Leather Longsleeve with Zipper,You know the sound of one hand clapping,Round Black with Black Lens,Red Leather Combat Cuff Boot,Can take on five enemies at once,4,13,9,4,7,9,1,1,,,,,,,Silver Earrings,,Thick Leather,,,Natural,Dark Brown,Short Afro Fade,Medium Rain,Black Cotton Wool Slacks with Buckles
55116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55117,You've got a bad feeling about this,Yes,Incredible moral fiber,Getting the hang of it,None,People follow you blindly,Black Leather Tank,Reality is seen as it is,Black Wayfarer with Black Lens,Green Leather Neo Combat Boot,People get out of your way,11,15,9,5,11,7,1,1,Katana with White Handle and Silver Blade,Dark Wood Staff,,,Equality Sign,Interlocking Circles,Black Earrings,Leather Cuff,Thick Leather,Smirk,,Natural,Blonde,Medium Curly Bob,Medium Rain,Red Cotton Wool Slacks with Buckles
