,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
15043,White,Straight Sideswept Fringe,Black,None,Dark Gray Longsleeve,Khaki,Brown Leather Shoes with Laces,Two Rings,None,None,None,Black Leather Briefcase
15044,White,Straight Sideswept Fringe,Blonde,Goatee,Light Gray Longsleeve,Khaki Slacks,Black Suede Chelseas with Brown Sole,None,None,Black Books,None,None
15045,White,Short Messy,Dark Brown,None,Blue Longsleeve,Gray Slacks,Redbrown Leather Workboot with Brown Sole,None,None,Black Books,None,Brown Leather Briefcase
15046,White,Buzz Cut,Light Brown,None,Navy Blazer with Striped Shirt and Navy Tie,Gray Slacks,Redbrown Leather Workboot with Brown Sole,None,Tan Workers Cap,Black Books,None,Lunchbox
15047,White,Medium Curly Bob,Light Brown,None,Brown Cardigan with Beigse Oxford Shirt,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,None,Rosegold Aviators,None,None
15048,White,Short Coil,Black,None,Olive Oxford with Buttons,Khaki Slacks,Brown Leather Shoes with Laces,None,None,None,None,Blue Lunchbox
15049,White,Short Afro Fade,Blonde,None,Brown Cardigan with Light Gray Oxford Shirt,Light-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,None,None,None
15050,White,Short Afro Fade,Black,None,Blue Longsleeve,Khaki Slacks,White Canvas Sneaker with White Sole,None,None,Silver Aviators,None,Black Smartphone
15051,White,Short Afro Fade,Dark Brown,None,Navy Jumpsuit,None,White Leather Sneaker with Grey Sole,None,None,None,None,Lunchbox
15052,White,None,Black,Stubble,Gray Blazer with Black Shirt and Gray Tie,Blue Denim,Redbrown Leather Workboot with Brown Sole,None,None,Rosegold Aviators,None,Black Smartphone
15053,White,Short Messy,Black,None,Blue Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,None,None,Lunchbox
15054,White,Short Afro Fade,Black,None,Navy Oxford with Tie,Navy Slacks,White Canvas Sneaker with White Sole,None,None,None,None,None
15055,White,Short Updo,Black,None,Navy Oxford with Buttons,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,Silver Aviators,None,None
15056,White,Short Messy,Light Brown,None,Light Gray Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,None,None,Black Books,None,Brown Leather Briefcase
15057,White,None,Blonde,None,Light Gray Cardigan with Light Gray Longsleeve Shirt,Navy Slacks,Black Leather Shoes with Laces,None,Purple Workers Cap,Black Books,None,Brown Leather Briefcase
15058,White,Updo Bun,Dark Brown,None,Light Gray Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,None,None,Silver Aviators,None,Black Smartphone
15059,White,Medium Curly Bob,Light Brown,None,Khaki Oxford with Buttons,Gray Slacks,White Canvas Sneaker with White Sole,None,None,None,None,Brown Leather Briefcase
15060,White,Buzz Cut,Blonde,Goatee,Khaki Oxford with Pocket,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,None,Purple Workers Cap,Black Books,None,Black Leather Briefcase
15061,White,Short Coil,Dark Brown,None,Khaki Oxford with Pocket,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,None,None,Black Books,None,Black Leather Briefcase
15062,White,Medium Curly Bob,Dark Brown,None,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,Two Rings,None,None,None,Black Leather Briefcase
15063,White,Short Coil,Dark Brown,None,Light Gray Cardigan with Beige Longsleeve Shirt,Charcoal Slacks,White Canvas Sneaker with White Sole,Two Rings,None,Black Books,None,None
15064,White,Long Messy,Blonde,None,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,Rosegold Aviators,None,Blue Lunchbox
15065,White,None,Black,None,Khaki Oxford with Pocket,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,Navy Blue Workers Cap,Black Books,None,Black Leather Briefcase
15066,White,None,Light Grey,None,Navy Oxford with Tie and Pocket,Light-Wash Denim,Black Suede Chelseas with Brown Sole,None,Tan Workers Cap,None,None,Black Smartphone
15067,White,Buzz Cut,Black,None,Dark Gray Cardigan with Tan Oxford Shirt,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,None,Stud Earring,Black Leather Briefcase
15068,White,None,Auburn,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,Tan Workers Cap,None,None,Black Leather Briefcase
15069,White,Short Coil,Light Grey,None,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,Black Leather Shoes with Laces,Ring One Blue,None,None,None,Brown Leather Briefcase
15070,White,Short Afro Fade,Dark Brown,None,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Black Leather Shoes with Laces,None,None,Black Books,None,Black Leather Briefcase
15071,White,Buzz Cut,Light Brown,None,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,None,Tan Workers Cap,None,None,Black Smartphone
15072,White,Short Pixie,Light Brown,None,Navy Jumpsuit,None,Brown Leather Shoes with Laces,None,None,None,None,None
15073,White,Short Pixie,Dark Brown,None,Brown Cardigan with Off-White Longsleeve Shirt,Gray Slacks,Brown Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
15074,White,Straight Sideswept Fringe,Light Brown,None,Gray Oxford with Tie,Navy Slacks,Black Suede Chelseas with Brown Sole,None,None,Rosegold Aviators,None,None
15075,White,None,Blonde,None,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,White Canvas Sneaker with White Sole,None,None,Silver Aviators,None,Blue Lunchbox
15076,White,Low Ponytail,Black,None,Olive Oxford with Pocket,Gray Slacks,Redbrown Leather Workboot with Brown Sole,Ring One Blue,None,None,None,Lunchbox
15077,White,Straight Sideswept Fringe,Dark Brown,Mustache,Light Gray Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
15078,White,Low Ponytail,Blonde,None,Khaki Oxford with Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,None,None,Black Smartphone
15079,White,None,Dark Brown,Beard,Khaki Oxford with Tie,Navy Slacks,Black Leather Shoes with Laces,Two Rings,Tan Workers Cap,None,None,None
15080,White,Short Coil,Black,None,Brown Cardigan with Tan Longsleeve Shirt,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Brown Leather Briefcase
15081,White,Low Ponytail,Light Brown,None,Navy Oxford with Pocket,Charcoal Slacks,Black Leather Shoes with Laces,None,None,Silver Aviators,None,Brown Leather Briefcase
15082,White,Long Messy,Light Brown,None,Gray Blazer with Black Shirt and Gray Tie,Gray Slacks,Black Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
15083,White,Short Pixie,Light Brown,None,Blue Longsleeve,Light-Wash Denim,Brown Leather Shoes with Laces,None,None,None,None,Black Smartphone
15084,White,Medium Curly Bob,Blonde,Thin,Gray Oxford with Buttons,Gray Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Brown Leather Briefcase
15085,White,Low Ponytail,Black,None,Olive Cardigan with Light Gray Oxford Shirt,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,None,None,None
15086,White,None,Light Brown,None,Olive Oxford with Buttons,Khaki Slacks,Brown Leather Shoes with Laces,None,Tan Workers Cap,None,Stud Earring,Brown Leather Briefcase
15087,White,None,Dark Brown,None,Tan Blazer with Off-White Shirt and No Tie,Gray Slacks,Redbrown Leather Workboot with Brown Sole,None,None,Rosegold Aviators,None,Brown Leather Briefcase
15088,White,None,Black,None,Khaki Oxford with Tie and Pocket,Navy Slacks,Black Suede Chelseas with Brown Sole,None,Tan Workers Cap,None,Stud Earring,Brown Leather Briefcase
15089,White,Short Afro Fade,Auburn,None,Navy Oxford with Pocket,Gray Slacks,White Canvas Sneaker with White Sole,None,None,None,None,Black Smartphone
15090,White,Short Afro Fade,Light Grey,None,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,None,None,None,None,Black Leather Briefcase
15091,White,Straight Sideswept Fringe,Dark Brown,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,Lunchbox
15092,White,Long Messy,Dark Brown,Goatee,Dark Gray Longsleeve,Blue Denim,Black Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
15093,White,Short Coil,Dark Brown,None,Light Gray Cardigan with Tan Longsleeve Shirt,Charcoal Slacks,Tan Suede Workboot with Tan Sole,Two Rings,None,None,None,Black Leather Briefcase
15094,White,Medium Curly Bob,Dark Brown,None,Navy Blazer with Striped Shirt and Navy Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,None
15095,White,Long Messy,Black,None,Light Gray Longsleeve,Khaki Slacks,Black Leather Shoes with Laces,None,None,None,None,Black Smartphone
15096,White,Short Coil,Dark Brown,None,Navy Blazer with Striped Shirt and No Tie,Khaki,Brown Leather Shoes with Laces,None,None,None,None,None
15097,White,Long Messy,Black,None,Olive Oxford with Buttons,Navy Slacks,White Canvas Sneaker with White Sole,None,None,Rosegold Aviators,None,Brown Leather Briefcase
15098,White,Short Pixie,Light Grey,None,Navy Blazer with Striped Shirt and No Tie,Khaki Slacks,Brown Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
15099,White,Updo Bun,Light Brown,None,Gray Oxford with Tie and Pocket,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,None,Stud Earring,Blue Lunchbox
15100,White,Straight Sideswept Fringe,Light Brown,None,Olive Oxford with Pocket,Navy Slacks,Tan Suede Workboot with Tan Sole,None,None,Silver Aviators,None,None
15101,White,Medium Curly Bob,Blonde,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,Two Rings,None,Rosegold Aviators,None,Black Smartphone
15102,White,Low Ponytail,Light Brown,None,Gray Oxford with Tie,Blue Denim,White Leather Sneaker with Grey Sole,None,None,Silver Aviators,None,None
15103,White,Short Messy,Black,Goatee,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,Black Leather Briefcase
15104,White,Short Messy,Black,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,None
15105,White,Short Pixie,Dark Brown,None,Charcoal Blazer with Light Blue Shirt and No Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
15106,White,None,Black,Goatee,Navy Jumpsuit,None,Tan Suede Workboot with Tan Sole,None,Navy Blue Workers Cap,None,None,Black Leather Briefcase
15107,White,None,Black,None,Charcoal Blazer with Light Blue Shirt and No Tie,Light-Wash Denim,Brown Leather Shoes with Laces,None,Navy Blue Workers Cap,None,None,None
15108,White,Long Straight Bangs,Dark Brown,None,Dark Gray Cardigan with Beige Oxford Shirt,Khaki Slacks,Tan Suede Workboot with Tan Sole,Two Rings,None,None,None,Brown Leather Briefcase
15109,White,Low Ponytail,Light Brown,None,Navy Oxford with Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,None,None,None
15110,White,Short Coil,Light Brown,None,Olive Oxford with Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,Silver Aviators,None,None
15111,White,Straight Sideswept Fringe,Dark Brown,None,Navy Blazer with Striped Shirt and Navy Tie,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,None,None,Black Books,Stud Earring,None
15112,White,Short Updo,Blonde,None,Gray Blazer with Black Shirt and Gray Tie,Charcoal Slacks,White Leather Sneaker with Grey Sole,Two Rings,None,Black Books,None,Light Blue Smartphone
15113,White,Straight Sideswept Fringe,Dark Brown,None,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,None
15114,White,Short Messy,Dark Brown,None,Light Gray Longsleeve,Navy Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,None
15115,White,Short Messy,Dark Brown,Goatee,Brown Cardigan with Tan Oxford Shirt,Navy Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,None
15116,White,Short Messy,Light Brown,Mustache,Charcoal Blazer with Light Blue Shirt and No Tie,Navy Slacks,Black Leather Shoes with Laces,None,None,Black Books,None,Black Leather Briefcase
15117,White,Long Messy,Black,None,Charcoal Blazer with Light Blue Shirt and No Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,None,None,None,None,None
15118,White,Straight Sideswept Fringe,Light Brown,Mustache,Navy Blazer with Striped Shirt and Navy Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,Rosegold Aviators,None,Blue Lunchbox
15119,White,None,Light Grey,None,Dark Gray Longsleeve,Navy Slacks,Brown Leather Shoes with Laces,None,Tan Workers Cap,Black Books,Stud Earring,Black Smartphone
15120,White,Buzz Cut,Blonde,Thin,Navy Blazer with Striped Shirt and No Tie,Blue Denim,Brown Leather Shoes with Laces,None,Tan Workers Cap,None,None,None
15121,White,Short Updo,Black,None,Light Gray Cardigan with Light Gray Longsleeve Shirt,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,Black Books,None,None
15122,White,Long Messy,Blonde,None,Navy Blazer with Striped Shirt and Navy Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,None,None,Black Books,None,Lunchbox
15123,White,Buzz Cut,Light Brown,None,Olive Oxford with Pocket,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Black Smartphone
15124,White,Short Coil,Black,None,Dark Gray Cardigan with Tan Longsleeve Shirt,Light-Wash Denim,Black Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
15125,White,Short Afro Fade,Dark Brown,None,Light Gray Longsleeve,Navy Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,None,None,None,None
15126,White,Straight Sideswept Fringe,Black,Goatee,Olive Oxford with Buttons,Blue Denim,Black Leather Shoes with Laces,None,None,None,None,None
15127,White,None,Dark Brown,Thin,Khaki Oxford with Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,Rosegold Aviators,None,Black Smartphone
15128,White,Medium Curly Bob,Light Brown,None,Khaki Oxford with Tie and Pocket,Navy Slacks,White Canvas Sneaker with White Sole,None,None,None,None,Black Smartphone
15129,White,Short Afro Fade,Dark Brown,None,Navy Oxford with Tie and Pocket,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,None,None,Black Smartphone
15130,White,Short Afro Fade,Blonde,None,Khaki Oxford with Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,None,Stud Earring,Black Leather Briefcase
15131,White,Short Updo,Black,Stubble,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,None,None,None
15132,White,Short Messy,Dark Brown,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Khaki,White Leather Sneaker with Grey Sole,None,None,None,None,Brown Leather Briefcase
15133,White,Short Pixie,Light Grey,None,Tan Blazer with Off-White Shirt and No Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,None
15134,White,Long Afro,Black,Mustache,Dark Gray Cardigan with Beige Longsleeve Shirt,Navy Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,Black Smartphone
15135,White,Updo Bun,Light Brown,None,Blue Longsleeve,Navy Slacks,Redbrown Leather Workboot with Brown Sole,None,None,None,None,Brown Leather Briefcase
15136,White,Straight Sideswept Fringe,Dark Brown,None,Light Gray Cardigan with Light Gray Oxford Shirt,Charcoal Slacks,White Canvas Sneaker with White Sole,Two Rings,None,None,None,Black Smartphone
15137,White,Short Messy,Dark Brown,None,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,Brown Leather Shoes with Laces,None,None,Black Books,Stud Earring,None
15138,White,Low Ponytail,Blonde,None,Navy Oxford with Buttons,Gray Slacks,Brown Leather Shoes with Laces,None,None,None,None,None
15139,White,Short Messy,Blonde,Goatee,Navy Blazer with Striped Shirt and Navy Tie,Khaki Slacks,Black Suede Chelseas with Brown Sole,None,None,None,None,Lunchbox
15140,White,Straight Sideswept Fringe,Dark Brown,Stubble,Gray Blazer with Black Shirt and No Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
15141,White,Short Afro Fade,Dark Brown,Thin,Light Gray Cardigan with Beige Oxford Shirt,Khaki Slacks,Black Leather Shoes with Laces,None,None,None,None,None
15142,White,Short Messy,Black,None,Navy Oxford with Buttons,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,None,None,None
15143,White,Short Afro Fade,Light Brown,None,Red Longsleeve,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,None
15144,White,Buzz Cut,Blonde,None,Red Longsleeve,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,Silver Aviators,None,Black Smartphone
15145,White,Low Ponytail,Light Brown,None,Khaki Oxford with Tie,Blue Denim,Brown Leather Shoes with Laces,None,None,None,None,None
15146,White,Long Messy,Light Grey,None,Blue Longsleeve,Dark-Wash Denim,Black Leather Shoes with Laces,None,None,None,None,Black Leather Briefcase
15147,White,Short Pixie,Black,None,Dark Gray Longsleeve,Light-Wash Denim,Black Leather Shoes with Laces,None,None,None,None,Black Smartphone
15148,White,None,Blonde,None,Dark Gray Cardigan with Beige Longsleeve Shirt,Dark-Wash Denim,Black Leather Shoes with Laces,None,Tan Workers Cap,None,None,Black Smartphone
15149,White,Short Coil,Light Grey,None,Brown Cardigan with Light Gray Longsleeve Shirt,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Black Leather Briefcase
15150,White,Buzz Cut,Black,None,Olive Oxford with Buttons,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,Tan Workers Cap,None,None,None
15151,White,Short Updo,Auburn,Stubble,Charcoal Blazer with Light Blue Shirt and No Tie,Navy Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,Lunchbox
15152,White,Short Messy,Blonde,Stubble,Olive Oxford with Buttons,Navy Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Black Smartphone
15153,White,None,Black,Stubble,Dark Gray Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,None,Navy Blue Workers Cap,Black Books,None,Brown Leather Briefcase
15154,White,Short Coil,Blonde,Stubble,Light Gray Cardigan with Light Gray Oxford Shirt,Light-Wash Denim,Brown Leather Shoes with Laces,None,None,Black Books,None,Black Smartphone
15155,White,Updo Bun,Black,Goatee,Tan Blazer with Off-White Shirt and No Tie,Light-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,None,None
15156,White,None,Black,Stubble,Navy Blazer with Striped Shirt and Navy Tie,Navy Slacks,Brown Leather Shoes with Laces,None,Tan Workers Cap,None,None,Black Leather Briefcase
15157,White,Short Afro Fade,Light Grey,None,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki,Tan Suede Workboot with Tan Sole,None,None,None,None,None
15158,White,Long Straight Bangs,Light Brown,None,Navy Oxford with Tie,Light-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,Black Books,None,Black Smartphone
15159,White,Short Pixie,Black,None,Navy Oxford with Buttons,Navy Slacks,White Canvas Sneaker with White Sole,None,None,None,None,Lunchbox
15160,White,Straight Sideswept Fringe,Blonde,Stubble,Gray Blazer with Black Shirt and No Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,None,Black Smartphone
15161,White,None,Dark Brown,None,Light Gray Longsleeve,Dark-Wash Denim,Brown Leather Shoes with Laces,None,None,Black Books,None,Lunchbox
15162,White,Long Messy,Black,None,Blue Longsleeve,Navy Slacks,Black Leather Shoes with Laces,None,None,Black Books,None,Brown Leather Briefcase
15163,White,Short Messy,Light Brown,None,Blue Longsleeve,Light-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,None,Black Leather Briefcase
15164,White,Short Messy,Dark Brown,None,Gray Blazer with Black Shirt and Gray Tie,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,Black Books,None,Black Leather Briefcase
15165,White,None,Light Grey,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Gray Slacks,White Leather Sneaker with Grey Sole,None,None,Rosegold Aviators,None,Brown Leather Briefcase
15166,White,Medium Curly Bob,Auburn,None,Charcoal Blazer with Light Blue Shirt and No Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,None,None,Lunchbox
15167,White,Short Pixie,Black,None,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,Silver Aviators,None,None
15168,White,Short Afro Fade,Dark Brown,None,Navy Jumpsuit,None,White Leather Sneaker with Grey Sole,None,None,None,None,Lunchbox
